"id","stop_id","suburb_name","lat","lon"
"1","2763180","Acacia Gardens","-33.7338559808861","150.909193613089"
"2","276327","Acacia Gardens","-33.7315958379659","150.90629761802"
"3","276365","Acacia Gardens","-33.7344515544338","150.915131090176"
"4","276366","Acacia Gardens","-33.734707081857","150.911907072478"
"5","276367","Acacia Gardens","-33.7339816150192","150.9092101049"
"6","276369","Acacia Gardens","-33.7302653330982","150.909041322802"
"7","276859","Acacia Gardens","-33.7340604312462","150.919783363998"
"8","2763136","Acacia Gardens","-33.7298279734219","150.914306046627"
"9","2763140","Acacia Gardens","-33.7347860571645","150.918500587313"
"10","2763141","Acacia Gardens","-33.7323420248481","150.912888881268"
"11","2763142","Acacia Gardens","-33.7313464102335","150.913026966488"
"12","2763143","Acacia Gardens","-33.7305446548221","150.913303282142"
"13","2763144","Acacia Gardens","-33.7325975045059","150.913073059106"
"14","2763145","Acacia Gardens","-33.7344004448067","150.913618804905"
"15","2763146","Acacia Gardens","-33.7344980948008","150.916502957652"
"16","2763147","Acacia Gardens","-33.7346714771673","150.918419872301"
"17","2763154","Acacia Gardens","-33.7301826752456","150.913351535077"
"18","2763174","Acacia Gardens","-33.7302959011318","150.906939646693"
"19","2763179","Acacia Gardens","-33.7345126352847","150.913774902851"
"20","2763133","Acacia Gardens","-33.7296251171457","150.914167404164"
"21","2763134","Acacia Gardens","-33.7301983192103","150.919100593743"
"22","2763173","Acacia Gardens","-33.7299986994278","150.909492965075"
"23","276346","Acacia Gardens","-33.7315753257734","150.906091769929"
"24","276368","Acacia Gardens","-33.7301313273468","150.907298864573"
"25","2763135","Acacia Gardens","-33.7303557378117","150.918967557345"
"26","276816","Glenwood","-33.7379207782869","150.92363716872"
"27","2768163","Glenwood","-33.7327827238396","150.937822663707"
"28","2768164","Glenwood","-33.7288467526461","150.923913741678"
"29","2768165","Glenwood","-33.7291461555013","150.939392624931"
"30","2768167","Glenwood","-33.7475989766742","150.94987023383"
"31","276817","Glenwood","-33.7382499962052","150.926316287953"
"32","276818","Glenwood","-33.7363770767831","150.927686892871"
"33","276819","Glenwood","-33.7336679753374","150.927584826669"
"34","276820","Glenwood","-33.7297349497011","150.927998524293"
"35","276821","Glenwood","-33.7272273062483","150.930623351859"
"36","276822","Glenwood","-33.7269877355877","150.933049690096"
"37","276823","Glenwood","-33.7267583660598","150.934872554027"
"38","276824","Glenwood","-33.7267595834694","150.935681437005"
"39","276825","Glenwood","-33.7272255943153","150.93830178583"
"40","276826","Glenwood","-33.7317446286495","150.93844383808"
"41","276827","Glenwood","-33.7341303522801","150.937949034857"
"42","276828","Glenwood","-33.736139247951","150.937685036572"
"43","276829","Glenwood","-33.7381462399604","150.938326949583"
"44","276830","Glenwood","-33.7398117313003","150.937529512878"
"45","276831","Glenwood","-33.7391482405381","150.93234347836"
"46","276832","Glenwood","-33.738385653225","150.926300905968"
"47","276833","Glenwood","-33.7380221567336","150.923566290306"
"48","276834","Glenwood","-33.7377854128541","150.920244249378"
"49","276835","Glenwood","-33.7286373971807","150.923979691149"
"50","276836","Glenwood","-33.7297308763572","150.925862951965"
"51","276865","Glenwood","-33.7408758101596","150.943143844146"
"52","276866","Glenwood","-33.7403384788608","150.941630745914"
"53","276867","Glenwood","-33.7393198083939","150.938542451644"
"54","276868","Glenwood","-33.7382846495341","150.938225426286"
"55","276869","Glenwood","-33.7356827604416","150.937588651089"
"56","276870","Glenwood","-33.7335599319701","150.937469956114"
"57","276871","Glenwood","-33.7331595906869","150.934485719885"
"58","276872","Glenwood","-33.7326016749413","150.931354103304"
"59","276873","Glenwood","-33.7317692743185","150.928350201538"
"60","276874","Glenwood","-33.7302403993252","150.927406853743"
"61","276875","Glenwood","-33.7297494750793","150.925561826136"
"62","276877","Glenwood","-33.730111682115","150.927487259419"
"63","276878","Glenwood","-33.7316149348806","150.928386297496"
"64","276879","Glenwood","-33.7325494732988","150.931578206264"
"65","276880","Glenwood","-33.7330242772225","150.934490319304"
"66","276881","Glenwood","-33.7396039572134","150.938674103489"
"67","276882","Glenwood","-33.7402627515398","150.942026360049"
"68","276883","Glenwood","-33.7414970083947","150.943161527054"
"69","276890","Glenwood","-33.7386885037491","150.928957271163"
"70","2155219","Glenwood","-33.7246023525881","150.940025860923"
"71","2768143","Glenwood","-33.7531857085265","150.952122513711"
"72","2153389","Glenwood","-33.7481443907244","150.950003148742"
"73","2768103","Glenwood","-33.7327384766647","150.938079481784"
"74","2768104","Glenwood","-33.7293828544316","150.939317180014"
"75","2768105","Glenwood","-33.7270732053027","150.937712457212"
"76","2768106","Glenwood","-33.7268875559298","150.935342187418"
"77","2768107","Glenwood","-33.7270530585036","150.93269678886"
"78","2768108","Glenwood","-33.7272941411336","150.930788170296"
"79","2768109","Glenwood","-33.7298298113393","150.928132270544"
"80","2768110","Glenwood","-33.7335538230845","150.927773752016"
"81","2768111","Glenwood","-33.7364622536655","150.927841779135"
"82","276814","Glenwood","-33.7376264342795","150.919859503634"
